canonical_smiles,molecule_chembl_id,IC50_nM,assay_chembl_id,pIC50
COc1cc2c(Nc3ccc(Oc4cccc(F)c4)cc3)ncnc2cc1OCC1CCN(C)CC1,CHEMBL5273000,36.0,CHEMBL5250194,7.443697499232712
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C(=O)NCCC)CC1,CHEMBL3671483,36.0,CHEMBL3705421,7.443697499232712
O=C(NCCO)C1=Cc2c(ncnc2Nc2ccc(Oc3cccc4sccc34)c(Cl)c2)NCC1,CHEMBL2348417,36.0,CHEMBL2351562,7.443697499232712
CCC(=O)Nc1cc2c(Nc3ccc(OCc4ccccc4)cc3)ncnc2cc1OC,CHEMBL3934034,36.0,CHEMBL3854863,7.443697499232712
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCCC2C)CCO4)c1,CHEMBL3114686,36.0,CHEMBL3118714,7.443697499232712
Cn1ncc2c(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)cccc21,CHEMBL2048904,36.0,CHEMBL2050649,7.443697499232712
Cc1nc(F)ccc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(Nc3cnc(F)c(F)c3)c2c1)C1=C(F)N(C2(C(F)F)CC2)NN1,CHEMBL5926481,36.0,CHEMBL5736995,7.443697499232712
COc1ccc(N2C(=O)CS/C2=N/Nc2nncc3ccccc23)cc1,CHEMBL3974626,36.0,CHEMBL3870506,7.443697499232712
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cn4c5c(cccc35)OCC4)n2)c(OC)cc1N(C)CCN(C)C,CHEMBL5284255,36.0,CHEMBL5238849,7.443697499232712
CN(CCO)c1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnc2cn1,CHEMBL3409482,36.0,CHEMBL3412565,7.443697499232712
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)C=CCC,CHEMBL5985870,36.0,CHEMBL3705421,7.443697499232712
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CC2(CCO2)C1,CHEMBL2425093,36.0,CHEMBL2429426,7.443697499232712
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)N1CCOCC1,CHEMBL3671563,36.0,CHEMBL3705421,7.443697499232712
COc1ccc(/C=C/C(=O)c2nnn(-c3ccc(Cl)cc3)c2C)cc1OC,CHEMBL4778826,36.0,CHEMBL4684707,7.443697499232712
N#Cc1cnc2c(Cl)cc(N[C@H](C3=CN(C4CCNCC4)NN3)c3ccc(Cl)s3)cc2c1Nc1ccc(F)c(Cl)c1,CHEMBL5788794,36.0,CHEMBL5736995,7.443697499232712
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)NC(C)C,CHEMBL3671510,36.0,CHEMBL3705421,7.443697499232712
COCCOc1cc2ncnc(Nc3ccc(Cl)c([N+](=O)[O-])c3)c2c2c1OCCO2,CHEMBL3806200,36.2,CHEMBL3807186,7.441291429466834
COCCOc1cc2ncnc(Nc3ccc(C=O)c(O)c3)c2cc1OCCOC,CHEMBL5633818,36.6,CHEMBL5626903,7.436518914605589
Cc1nc2cc(Br)c(Br)cc2c(=O)n1-c1ccc(Nc2nc(Nc3ccc(Br)cc3)nc(N3CCCCC3)n2)cc1,CHEMBL5613341,36.6,CHEMBL5609687,7.436518914605589
C=CC(=O)N1CCC(Nc2cc3c(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)ncnc3cc2OC)CC1,CHEMBL5859805,36.7,CHEMBL5732397,7.435333935747911
Cc1nc2cc(Br)c(Br)cc2c(=O)n1-c1ccc(Nc2nc(N3CCCCC3)nc(N3CCOCC3)n2)cc1,CHEMBL5612851,36.8,CHEMBL5609687,7.434152181326482
